season,week,survival_rate,n_valid,n_total
4,1,1.0,500,500
4,2,0.118,59,500
4,3,0.08,40,500
4,4,0.232,116,500
4,5,0.252,126,500
4,6,0.072,36,500
4,7,0.072,36,500
4,8,0.396,198,500
4,9,0.266,133,500
4,10,1.0,500,500
8,1,1.0,500,500
8,2,0.092,46,500
8,3,0.176,88,500
8,4,0.15,75,500
8,5,0.082,41,500
8,6,0.15,75,500
8,7,0.186,93,500
8,8,0.168,84,500
8,9,0.184,92,500
8,10,0.468,234,500
8,11,1.0,500,500
11,1,0.156,78,500
11,2,0.31,155,500
11,3,0.148,74,500
11,4,0.16,80,500
11,5,0.084,42,500
11,6,0.054,27,500
11,7,0.158,79,500
11,8,0.156,78,500
11,9,0.37,185,500
11,10,1.0,500,500
