Partner,Judge_Effect,Fan_Effect,Combined_Effect,Type
Derek Hough,0.43001810725061357,0.19136850754393717,0.4706776797799043,Balanced
Ashly DelGrosso,-0.28592743525615105,0.0740668496643023,0.2953648531077366,Balanced
Valentin Chmerkovskiy,0.23858386077720398,-0.027984855737353424,0.2402195053987014,Technical Specialist
Keo Motsepe,-0.21094448673082516,-0.06408202407085746,0.22046333548041322,Balanced
Kym Johnson,0.14025847397236743,0.13300676560451133,0.1932957299518815,Balanced
Mark Ballas,0.1778246960074162,0.06111387318745165,0.18803331621311664,Balanced
Artem Chigvintsev,0.1731719404523989,-0.06975439659934948,0.18669278723343471,Balanced
Edyta Sliwinska,-0.16515199392683666,0.07621035567639639,0.18188787593001557,Balanced
Anna Trebunskaya,-0.15845579203069338,-0.0625114900752747,0.1703406129480152,Balanced
Gleb Savchenko,-0.09468767231522257,-0.14010499961624043,0.16910105323723357,Balanced
Sasha Farber,0.1611902296877936,-0.00715110397196922,0.16134877884515136,Balanced
Cheryl Burke,0.12022586448061616,0.08556760497788664,0.14756718304475128,Balanced
Rylee Arnold,-0.14233946462238775,-0.019404970954721986,0.14365610354851469,Balanced
Britt Stewart,-0.11270469154435547,-0.08796721843005088,0.14297055296258945,Balanced
Brandon Armstrong,-0.04481660975734416,-0.12802019190667868,0.13563811428195585,Balanced
Charlotte Jorgensen,0.05688643265936456,0.11757662885532451,0.13061519771332564,Balanced
Karina Smirnoff,-0.12176439026306907,-0.046980797267996,0.1305134554292144,Balanced
Lacey Schwimmer,-0.12836236904344114,0.0207712101091599,0.130032076642048,Balanced
Elena Grinenko,-0.12895395894108408,-0.016408337935317655,0.12999368092479874,Balanced
Chelsie Hightower,-0.09408357875086147,-0.07744925651193714,0.12186101560721291,Balanced
Maksim Chmerkoskiy,0.10976442405522624,0.050363636532761845,0.12076723344094487,Balanced
Alec Mazo,-0.0974714255861028,0.053455533818505464,0.11116731939562345,Balanced
Jonathan Roberts,0.058706865238675486,0.0787203529548026,0.0982007637214737,Balanced
Witney Carson,0.09326080001337633,-0.019708752229070182,0.09532057350625758,Balanced
Louis van Amstel,-0.07474719685545765,0.03811808100684307,0.08390549169984518,Balanced
Pasha Pashkov,-0.05014774262651126,-0.05655427015831894,0.07558559097920012,Balanced
Peta Murgatroyd,-0.040880358017319054,-0.061774211618678014,0.07407602103740046,Balanced
Tristan MacManus,0.07028409794079243,0.01784660601960165,0.0725145210959142,Balanced
Brian Fortuna,-0.06471984183490968,-0.02623200296809773,0.06983391659397327,Balanced
Alan Bersten (Rashad Jennings week 9),0.06558307574745384,0.01341231020866339,0.06694049514030864,Balanced
Jenna Johnson,0.05935091057508732,0.028107518578716614,0.06567010877670991,Balanced
Val Chmerkovskiy (Joey Graziadei week 9),0.05703104558819623,-0.009077581817512346,0.05774896235030156,Balanced
Daniella Karagach (Rumer Willis week 9),0.054011902643762516,0.011279183951104797,0.05517703886402514,Balanced
Tyne Stecklein,-0.054806456079120436,-0.003988270033210587,0.054951377833593607,Balanced
Lindsay Arnold,-0.026653639986058526,-0.04704236710113466,0.05406848275089966,Balanced
Julianne Hough,-0.02824582559641655,0.04465835634751706,0.05284122874503391,Balanced
Alan Bersten,0.04774104420891163,-0.021467519848953287,0.0523455987703117,Balanced
Kym Herjavec,-0.050586287817097966,-0.004833855439586176,0.05081671647720946,Balanced
Dmitry Chaplin,-0.04543972851968779,-0.010515745981163102,0.046640645809028804,Balanced
Corky Ballas,0.017669288751948994,0.04310838070820953,0.04658901428753009,Balanced
Koko Iwasaki,-0.04163138159158615,-0.013852793776996527,0.04387564049278656,Balanced
Witney Carson (Xoshitl Gomez week 9),0.04333286116574838,-0.004321368766602371,0.04354780229617782,Balanced
Anna Demidova,-0.03869058143608583,-0.019802412972763587,0.04346373950094797,Balanced
Damian Whitewood,0.039158048544612994,-0.006681155656512501,0.03972392990036128,Balanced
Emma Slater,0.02033962106516495,-0.033793213702193216,0.03944212820572187,Balanced
Jan Ravnik,-0.029330279018753885,-0.020573387871840043,0.03582638072486711,Balanced
Allison Holker,-0.020238008058224965,-0.028966249432093513,0.03533582567773161,Balanced
Val Chmerkovskiy,0.03470290830583136,-0.006638835274678198,0.03533222295139736,Balanced
Ezra Sosa (Apolo Anton Ohno week 9),0.024115419538533307,-0.019520028826690232,0.031025553740655326,Balanced
Tony Dovolani,0.026307892592351924,0.015260615594348255,0.03041367457196171,Balanced
Daniella Karagach,0.023377841442052183,0.00894563681606473,0.025030938626720838,Balanced
Nick Kosovich,0.020032609884566118,-0.0045135719211300595,0.020534794624598268,Balanced
Fabian Sanchez,-0.018267436124031474,-0.009081862711572094,0.020400476780149373,Balanced
Emma Slater/Kaitlyn Bristowe (week 9),0.0038406681538934,0.013152945552701897,0.013702215462496259,Balanced
Sharna Burgess,0.0032777015856833803,0.0006481474777273412,0.0033411708782514643,Balanced
