season,weight_volatility,avg_disagreement,upset_weeks,total_weeks
1,0.0784646192970731,0.31741799002274484,2,5
2,0.09447801760218237,0.1848893305426602,3,8
3,0.06913272182648776,0.19589090266014622,4,10
4,0.08060994258828241,0.40402108298032646,6,10
5,0.05433554479702483,0.3083429636988596,5,10
6,0.07653537635327765,0.26112203857618166,5,10
7,0.07070894979530207,0.4328601551140741,7,10
8,0.07092265973317811,0.42440438580488576,7,11
9,0.0687791174343706,0.14603758710705647,3,10
10,0.09200499709954388,0.3115825671534408,5,10
11,0.06302529486731265,0.12647839113615034,1,10
12,0.062072504056558515,0.156949926997578,1,10
13,0.08431546402414547,0.3153692014602242,6,10
14,0.08998982309794497,0.27695357159695244,5,10
15,0.0841238584747286,0.3782992221426221,6,10
16,0.07330411172444602,0.21555460144008878,2,10
17,0.07858519852080491,0.30509095940898345,5,11
18,0.06630010002637202,0.2334519535548949,1,10
19,0.0725296367093445,0.37176617192819567,5,11
20,0.10052294587355598,0.4292902349567755,7,10
21,0.07753420189260858,0.24068834822362872,5,11
22,0.08135270691636039,0.24898778491057624,3,10
23,0.07248769076627538,0.4302636468428194,8,11
24,0.06948623514013201,0.3815386415153208,6,10
25,0.06947295981194397,0.3133521875970849,5,10
26,0.08661829592242865,0.16734546065816225,1,4
27,0.07699735451790489,0.34081604213499156,6,9
28,0.09236565531046387,0.3514920508073793,5,10
29,0.058598222506981545,0.2677736078280187,4,11
30,0.08013975009248524,0.25170499706200233,3,10
31,0.0789485545175851,0.3041163442210152,6,10
32,0.05586587802959459,0.5187425693765054,9,11
33,0.056272352240765315,0.3983828053257863,6,9
34,0.06381290632190423,0.4112232662696163,8,11
