season,skill_rank_correlation,regret_count,total_contestants
1,0.5,0,6
2,0.6126374746329801,0,10
3,0.814385858101016,0,11
4,0.16766767666785626,0,11
5,0.7666666666666667,0,12
6,0.9288784237188525,0,12
7,0.6951348739837788,0,13
8,0.686933264358473,0,13
9,0.7883885297422846,0,16
10,0.7142857142857144,0,11
11,0.9,0,12
12,0.9047619047619048,0,11
13,0.6333333333333333,0,12
14,0.836827408755723,0,12
15,0.8501886852920228,0,13
16,0.8666666666666667,0,12
17,0.5666666666666667,0,12
18,0.8982196964349441,0,12
19,0.6747751534848716,0,13
20,0.912141875543738,0,12
21,0.9601136296387952,0,13
22,0.9496133617021003,0,12
23,0.9726488698881034,0,13
24,0.8451956828432803,0,12
25,0.8807380632949082,0,13
26,0.8504200642707614,0,10
27,0.5714487486348921,0,13
28,0.7545045450053531,0,12
29,0.9589141064521686,0,15
30,0.9382372118888361,0,15
31,0.8717168613672982,0,16
32,0.8333333333333333,0,14
33,0.7711403083390078,0,13
34,0.728039845617479,0,14
