season,n_contestants,corr_actual_judge,corr_actual_alternative,corr_judge_alternative,p_value_actual_judge,p_value_actual_alternative,p_value_judge_alternative
1,5,0.6,0.8944271909999157,0.44721359549995787,0.28475697986529375,0.040519326353834054,0.45018485575210093
2,10,0.686933264358473,0.812776759390954,0.5459937698255332,0.028205560771255266,0.004259472986524341,0.10252391466028049
3,10,0.8787878787878788,0.6648671979317373,0.7059930039893707,0.0008138621117322101,0.03594453958687027,0.02250989395838487
4,11,0.6833730713673077,0.7862453931068967,0.7880384293992558,0.02043986029912546,0.004107170978877597,0.003965431455067828
5,12,0.7832167832167832,0.7618527288259722,0.5048421697039575,0.0025862148333625915,0.003979733967020674,0.09413275622499584
6,12,0.9510489510489512,0.4024727368477289,0.3555827092538188,2.0384246324655723e-06,0.19460191325320644,0.25665512941672863
7,13,0.8736263736263737,0.23183609762452712,0.3726985366875309,9.5288972903705e-05,0.44597246544533764,0.20977641482899365
8,13,0.8351648351648352,0.4989354139802507,0.3859689051545335,0.00038020808018512014,0.08262127688970426,0.1927139329162479
9,16,0.8785874343251009,0.38028680697015455,0.24465004611950095,7.521205826299174e-06,0.14621960395554703,0.3611344842698382
10,11,0.8909090909090911,0.7862453931068967,0.7862453931068967,0.0002334581703787316,0.004107170978877597,0.004107170978877597
11,12,0.8881118881118882,0.7618527288259722,0.5690948094844612,0.00011413359814618011,0.003979733967020674,0.05346111914934681
12,11,0.9363636363636365,0.7862453931068967,0.7515580963521804,2.208207644917754e-05,0.004107170978877597,0.007653342006891018
13,12,0.8251748251748254,0.7618527288259722,0.7343158832057565,0.0009513628555555001,0.003979733967020674,0.006537925003600066
14,12,0.9020979020979022,0.8244829851929205,0.7658704507005327,5.9978574465377e-05,0.0009691393931400714,0.0036821246315649316
15,13,0.9120879120879121,0.8187629270537097,0.807024390465126,1.3975552674444554e-05,0.000619556149206374,0.0008541423544355909
16,12,0.9300699300699302,0.8154500619735492,0.8154500619735492,1.1702227928659668e-05,0.0012255896664540497,0.0012255896664540497
17,12,0.7902097902097903,0.8154500619735492,0.4909342209840755,0.0022231354099909208,0.0012255896664540497,0.10508541044512355
18,11,0.9,0.5878509614308588,0.44447267815503955,0.00015997142806871369,0.05717449326955407,0.17078869063261348
19,13,0.8363144087787088,0.7986037626602963,0.7997030113054016,0.00036670680674223623,0.001061740967063293,0.0010325949755039421
20,12,0.8811188811188813,0.8244829851929205,0.5353278150304744,0.00015267406467669873,0.0009691393931400714,0.07287338056584983
21,13,0.9505494505494506,0.5078262773280194,0.49940926720656054,6.363704773478595e-07,0.07644590170111067,0.08228371543811228
22,12,0.9720279720279721,0.8795771890337605,0.8204459494348522,1.2868115751495013e-07,0.00016239617639566054,0.0010780386158539613
23,13,0.9780219780219779,0.6311935840831645,0.6431593392316606,7.757814031393615e-09,0.020692758859707335,0.017721589315865545
24,12,0.7972027972027973,0.7541479438020553,0.5392353173299669,0.0019003677255282707,0.004601088444544737,0.0704113968932774
25,13,0.9518578468336619,0.5793319017557375,0.5542819843457578,5.505056242155573e-07,0.03799367462472116,0.0493325585169992
26,10,0.9636363636363635,0.9566355184455129,0.886946838293853,7.320974809529922e-06,1.4680261164149385e-05,0.0006222133080364467
27,13,0.6593406593406593,0.9579052236951302,0.5248402872341582,0.01422557851145671,2.6620451894911034e-07,0.0655385478067443
28,12,0.8741258741258742,0.5460090421649391,0.5310498903248038,0.00020071307332423193,0.0662801516290173,0.07563577904445652
29,15,0.9392857142857142,0.8517664426792675,0.8441613851553454,2.0945801936685517e-07,5.576420415236116e-05,7.5721125428201e-05
30,15,0.8607142857142854,0.8255147123529499,0.6412312458140226,3.8055250226647814e-05,0.00015052779788927724,0.009986744200226702
31,16,0.9315675811185744,0.8726034821325743,0.8530461746830499,1.5705924703979078e-07,1.0360147592448235e-05,2.666493576788267e-05
32,14,0.9428571428571428,0.852935384356183,0.8221989741091132,4.4409928509609024e-07,0.00010558186372584012,0.00030733434124840403
33,13,0.9035846958936101,0.6101507010847766,0.5603604023091601,2.2835738346635555e-05,0.02679481704223958,0.04638345472708323
34,14,0.8624867705338932,0.6312648595089839,0.4423406966207771,7.211367422347694e-05,0.01547230521989007,0.11324584192685554
